symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
FLNA,Filana Therapeutics Inc. Common Stock,1.1099,76070406.0,50.088,53616934.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"Filana Therapeutics, Inc.",48066298.342541434,87000000.0,2025-06-30,2025-06-30,1.81,1.8475574577828482,1.81,reported_close,2026-03-12,10-K,0001437749-26-007962,https://www.sec.gov/Archives/edgar/data/1069530/000143774926007962/0001437749-26-007962-index.html,2026-09-21,449,0.726,0.74,1.9283746556473913,2026-09-18,2026-09-21,84430543.61940001,53348784.530386746,1.5826141937931035,0.9949987914338173,Filana Therapeutics Inc. Common Stock,1,False
ALOY,REalloys Inc. Common Stock,8.9194,1446513.0,-4.401,619175213.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-21,449,8.26,9.33,12.953995157385002,2026-09-18,2026-09-21,12902028.052199999,23895866.10859083,0.5399271988539296,0.03859305993987009,REalloys Inc. Common Stock,2,False
VOR,Vor Biopharma Inc. Common Stock,22.675,1336438.0,3.586,1341505016.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Vor Biopharma Inc.,2553449.117588195,76100000.0,2025-06-30,2025-06-30,32.4,1.490141304869208,1.490141304869208,amount/volume_raw_proxy,2026-03-30,10-K,0001193125-26-130451,https://www.sec.gov/Archives/edgar/data/1817229/000119312526130451/0001193125-26-130451-index.html,2026-09-21,449,21.4,21.89,2.2897196261682407,2026-09-18,2026-09-21,30303731.650000002,57899458.741312325,0.5233854047823375,0.04316007622092434,Vor Biopharma Inc. Common Stock,3,False
