symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
GPRO,GoPro Inc. Class A Common Stock,1.405,78856049.0,14.228,259228695.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-09-01,429,0.876,1.23,40.41095890410959,2026-08-31,2026-09-01,110792748.845,184632219.28665787,0.6000726702688031,0.7122368119264647,GoPro Inc. Class A Common Stock,1,False
BYND,Beyond Meat Inc. Common Stock,11.965,902281.0,-3.896,205725803.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-01,431,13.3,12.45,-6.390977443609036,2026-08-31,2026-09-01,10795792.165,28204840.66006299,0.38276380622445566,0.13709918857413814,Beyond Meat Inc. Common Stock,2,False
ALOY,REalloys Inc. Common Stock,9.8594,921480.0,-1.208,680176758.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-01,429,10.35,9.98,-3.5748792270531293,2026-08-31,2026-09-01,9085239.912,26414209.7350764,0.3439527437360875,0.038834331553381896,REalloys Inc. Common Stock,3,False
