symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
ALOY,REalloys Inc. Common Stock,10.345,528466.0,-0.529,713677156.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-28,427,11.42,10.4,-8.931698774080555,2026-08-27,2026-08-28,5466980.7700000005,27715175.336162988,0.19725586086647048,0.03883433160660531,REalloys Inc. Common Stock,1,True
PURR,Hyperliquid Strategies Inc Common Stock,11.67,15986924.0,0.517,2308764757.0,United States,Finance,Finance: Consumer Services,Hyperliquid Strategies Inc,124101123.59550561,441800000.0,2025-12-31,2025-12-31,3.56,3.4730841993157315,3.56,reported_close,2026-08-27,10-K,0001193125-26-370281,https://www.sec.gov/Archives/edgar/data/2078856/000119312526370281/0001193125-26-370281-index.html,2026-08-28,243,12.83,11.61,-9.508963367108347,2026-08-27,2026-08-28,186567403.08,1448260112.3595505,0.12882175065640564,0.6272878637672095,Hyperliquid Strategies Inc Common Stock,2,True
TRON,Tron Inc. Common Stock,1.7192,1674510.0,-17.346,815557644.0,United States,Finance,Finance: Consumer Services,TRON INC.,13063882.064516129,101245086.0,2025-06-30,2025-06-30,7.75,8.305466463101185,7.75,reported_close,2026-03-25,10-K,0001493152-26-012723,https://www.sec.gov/Archives/edgar/data/1956744/000149315226012723/0001493152-26-012723-index.html,2026-08-28,427,2.14,2.08,-2.8037383177570097,2026-08-27,2026-08-28,2878817.592,22459426.04531613,0.12817859130466835,0.027538735257462844,Tron Inc. Common Stock,3,False
