symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
KSS,Kohl's Corporation Common Stock,17.68,1033095.0,0.0,2004911876.0,United States,Consumer Discretionary,Department/Specialty Retail Stores,KOHL'S CORP,19218915.15823727,200000000.0,2025-08-01,2025-08-01,10.406414636482722,10.703053794735546,10.406414636482722,reported_close,2026-03-19,10-K,0001193125-26-115982,https://www.sec.gov/Archives/edgar/data/885639/000119312526115982/0001193125-26-115982-index.html,2026-08-25,390,18.3,17.68,-3.3879781420765087,2026-08-24,2026-08-25,18265119.6,339790419.99763495,0.0537540746443856,0.16947898013131174,Kohl's Corporation Common Stock,1,False
PLAB,Photronics Inc. Common Stock,33.3207,2086620.0,13.645,1964711692.0,United States,Technology,Semiconductors,"PHOTRONICS, INC.",48635440.99895942,934773176.0,2025-05-02,2025-05-02,19.22,19.185179350710484,19.22,reported_close,2025-12-17,10-K,0001140361-25-045801,https://www.sec.gov/Archives/edgar/data/810136/000114036125045801/0001140361-25-045801-index.html,2026-08-25,481,29.53,29.32,-0.7111412123264493,2026-08-24,2026-08-25,69527639.03400001,1620566938.8940272,0.04290328116989099,0.8248370208681118,Photronics Inc. Common Stock,2,False
ALOY,REalloys Inc. Common Stock,12.0493,86541.0,-0.91,831252795.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-25,422,11.09,12.16,9.648331830477908,2026-08-24,2026-08-25,1042758.4713000001,32281146.658098474,0.032302398745132556,0.03883433156829082,REalloys Inc. Common Stock,3,False
