symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CELU,Celularity Inc. Class A Common Stock,1.58,14987643.0,-24.762,45734618.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Celularity Inc.,14489795.918367347,28400000.0,2025-06-30,2025-06-30,1.96,2.057249764591215,1.96,reported_close,2026-04-30,10-K,0001493152-26-020424,https://www.sec.gov/Archives/edgar/data/1752828/000149315226020424/0001493152-26-020424-index.html,2026-08-28,424,2.1,1.58,-24.761904761904763,2026-08-27,2026-08-28,23680475.94,22893877.55102041,1.0343584605633802,0.500580928674651,Celularity Inc. Class A Common Stock,1,True
ALOY,REalloys Inc. Common Stock,10.4,2038884.0,-8.932,717471477.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-28,424,11.42,10.4,-8.931698774080555,2026-08-27,2026-08-28,21204393.6,27862525.22920204,0.7610363176190573,0.03883433156911691,REalloys Inc. Common Stock,2,True
TCI,Transcontinental Realty Investors Inc. Common Stock,36.14,494750.0,-8.274,317091095.0,United States,Real Estate,Real Estate Investment Trusts,"TRANSCONTINENTAL REALTY INVESTORS, INC.",1171086.5993898145,49900000.0,2025-06-30,2025-06-30,42.61,43.103307766059444,42.61,reported_close,2026-03-12,10-K,0000733590-26-000004,https://www.sec.gov/Archives/edgar/data/733590/000073359026000004/0000733590-26-000004-index.html,2026-08-28,424,39.4,36.14,-8.274111675126894,2026-08-27,2026-08-28,17880265.0,42323069.7019479,0.42247089178356717,0.13347290532377737,Transcontinental Realty Investors Inc. Common Stock,3,True
