symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
ACVA,ACV Auctions Inc. Class A Common Stock,10.425,87196774.0,44.391,1770248192.0,United States,Consumer Discretionary,Business Services,ACV Auctions Inc.,166461159.06288534,2700000000.0,2025-06-30,2025-06-30,16.22,16.273223518607256,16.22,reported_close,2026-02-23,10-K,0001637873-26-000011,https://www.sec.gov/Archives/edgar/data/1637873/000163787326000011/0001637873-26-000011-index.html,2026-09-10,438,7.37,7.22,-2.0352781546811416,2026-09-09,2026-09-10,909026368.95,1735357583.2305799,0.5238265460296295,0.9802905553429764,ACV Auctions Inc. Class A Common Stock,1,False
ALOY,REalloys Inc. Common Stock,8.64,1208960.0,-1.706,599779564.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-10,438,9.54,8.79,-7.861635220125784,2026-09-09,2026-09-10,10445414.4,23147328.651952464,0.45125787761772396,0.038593059919514804,REalloys Inc. Common Stock,2,False
SMR,NuScale Power Corporation Class A Common Stock,8.8462,53573951.0,-13.357,3801418009.0,United States,Industrials,Metal Fabrications,NUSCALE POWER Corp,133973710.8190091,5300000000.0,2025-06-30,2025-06-30,39.56,39.13949353677633,39.56,reported_close,2026-02-26,10-K,0001822966-26-000018,https://www.sec.gov/Archives/edgar/data/1822966/000182296626000018/0001822966-26-000018-index.html,2026-09-10,438,10.81,10.21,-5.550416281221093,2026-09-09,2026-09-10,473925885.3362,1185158240.647118,0.3998840568981133,0.3117674083305786,NuScale Power Corporation Class A Common Stock,3,False
