symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
DMRA,Damora Therapeutics Inc. Ordinary Shares,25.3,797918.0,-10.884,1561908631.0,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,"DAMORA THERAPEUTICS, INC.",1290322.5806451612,4400000.0,2025-06-30,2025-06-30,3.41,3.2296590671407657,3.41,reported_close,2026-03-19,10-K,0001193125-26-115922,https://www.sec.gov/Archives/edgar/data/1800315/000119312526115922/0001193125-26-115922-index.html,2026-09-14,442,28.1,28.39,1.0320284697508786,2026-09-11,2026-09-14,20187325.400000002,32645161.29032258,0.6183864500000001,0.02090081368551102,Damora Therapeutics Inc. Ordinary Shares,1,False
VRA,Vera Bradley Inc. Common Stock,3.96,9020317.0,30.263,112615478.0,United States,Consumer Discretionary,Apparel,"VERA BRADLEY, INC.",20388901.030927837,39554468.0,2025-08-02,2025-08-01,1.94,1.8906632609449872,1.94,reported_close,2026-03-27,10-K,0001628280-26-021640,https://www.sec.gov/Archives/edgar/data/1495320/000162828026021640/0001628280-26-021640-index.html,2026-09-14,409,3.14,3.04,-3.1847133757961776,2026-09-11,2026-09-14,35720455.32,80740048.08247423,0.44241310438052156,0.7169533843516096,Vera Bradley Inc. Common Stock,2,False
PLAY,Dave & Buster's Entertainment Inc. Common Stock,6.84,11464664.0,-19.244,237954667.0,United States,Consumer Discretionary,Restaurants,"Dave & Buster’s Entertainment, Inc.",37778617.302606724,1000000000.0,2025-08-05,2025-08-05,26.47,26.73611025762667,26.47,reported_close,2026-03-31,10-K,0001525769-26-000008,https://www.sec.gov/Archives/edgar/data/1525769/000152576926000008/0001525769-26-000008-index.html,2026-09-14,406,8.14,8.47,4.054054054054057,2026-09-11,2026-09-14,78418301.76,258405742.34983,0.30346965608000004,1.0859452584295395,Dave & Buster's Entertainment Inc. Common Stock,3,False
