symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
GPRO,GoPro Inc. Class A Common Stock,1.7,285138325.0,22.302,313657495.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-09-04,435,1.3900000000000001,1.7000000000000002,22.302158273381288,2026-09-03,2026-09-04,484735152.5,223398414.79524437,2.169823599439072,0.7122368135830593,GoPro Inc. Class A Common Stock,1,False
CHPT,ChargePoint Holdings Inc. Common Stock,9.89,13432727.0,8.921,265549704.0,United States,Miscellaneous,Industrial Machinery/Components,"ChargePoint Holdings, Inc.",23079434.167573452,212100000.0,2025-07-31,2025-07-31,9.19,9.079250081349654,9.19,reported_close,2026-04-02,10-K,0001777393-26-000013,https://www.sec.gov/Archives/edgar/data/1777393/000177739326000013/0001777393-26-000013-index.html,2026-09-04,404,9.08,9.89,8.920704845814974,2026-09-03,2026-09-04,132849670.03,228255603.91730145,0.582021504620462,0.8595588715749479,ChargePoint Holdings Inc. Common Stock,2,False
ALOY,REalloys Inc. Common Stock,10.1,1327392.0,0.398,701131203.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-04,435,10.06,10.1,0.397614314115291,2026-09-03,2026-09-04,13406659.2,27058798.53989813,0.49546394974750685,0.038593059935314464,REalloys Inc. Common Stock,3,False
