symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,8.365,6470879.0,3.017,161789916.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"Corbus Pharmaceuticals Holdings, Inc.",9826086.956521738,67800000.0,2025-06-30,2025-06-30,6.9,7.012247080952124,6.9,reported_close,2026-03-09,10-K,0001193125-26-098530,https://www.sec.gov/Archives/edgar/data/1595097/000119312526098530/0001193125-26-098530-index.html,2026-09-11,441,8.24,8.12,-1.456310679611661,2026-09-10,2026-09-11,54128902.835,82195217.39130434,0.6585407831858408,0.5080367146695617,Corbus Pharmaceuticals Holdings Inc. Common Stock,1,False
VNCE,Vince Holding Corp. Common Stock,6.5,1425598.0,24.046,83507411.0,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,VINCE HOLDING CORP.,5000000.0,7600000.0,2025-08-02,2025-08-01,1.52,1.5235113953697865,1.52,reported_close,2026-04-16,10-K,0001193125-26-158986,https://www.sec.gov/Archives/edgar/data/1579157/000119312526158986/0001193125-26-158986-index.html,2026-09-11,408,5.03,5.24,4.174950298210733,2026-09-10,2026-09-11,9266387.0,32500000.0,0.2851196,0.38918701479081896,Vince Holding Corp. Common Stock,2,False
ALOY,REalloys Inc. Common Stock,8.46,759842.0,0.595,587284156.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-11,441,8.79,8.41,-4.323094425483498,2026-09-10,2026-09-11,6428263.32,22665092.63837012,0.2836195475820595,0.038593059946895825,REalloys Inc. Common Stock,3,False
