symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
ALOY,REalloys Inc. Common Stock,11.09,2691806.0,-11.28,765072950.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-24,421,12.5,11.09,-11.280000000000001,2026-08-21,2026-08-24,29852128.54,29711096.614601016,1.0047467761701423,0.03883433156877526,REalloys Inc. Common Stock,1,True
CYPH,Cypherpunk Technologies Inc. Common Stock,1.68,38564672.0,18.31,181044162.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-08-24,421,1.42,1.6800000000000002,18.309859154929597,2026-08-21,2026-08-24,64788648.96,68444444.44444445,0.9465874036363636,0.37805386093832977,Cypherpunk Technologies Inc. Common Stock,2,False
BYND,Beyond Meat Inc. Common Stock,14.15,1376956.0,-4.198,243294619.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-08-24,423,14.77,14.15,-4.197698036560594,2026-08-21,2026-08-24,19483927.400000002,33355494.80483839,0.5841294669438919,0.13709918839116778,Beyond Meat Inc. Common Stock,3,False
