symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
DMRA,Damora Therapeutics Inc. Ordinary Shares,24.515,549354.0,-0.949,1513446248.0,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,"DAMORA THERAPEUTICS, INC.",1290322.5806451612,4400000.0,2025-06-30,2025-06-30,3.41,3.2296590671407657,3.41,reported_close,2026-03-19,10-K,0001193125-26-115922,https://www.sec.gov/Archives/edgar/data/1800315/000119312526115922/0001193125-26-115922-index.html,2026-09-15,443,28.39,24.75,-12.821415991546326,2026-09-14,2026-09-15,13467413.31,31632258.064516127,0.42574935,0.020900813693461365,Damora Therapeutics Inc. Ordinary Shares,1,True
ALOY,REalloys Inc. Common Stock,8.22,944368.0,-2.894,570623613.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-15,443,8.52,8.47,-0.5868544600938885,2026-09-14,2026-09-15,7762704.960000001,22022111.286926996,0.35249594640856174,0.038593059917636105,REalloys Inc. Common Stock,2,False
BYND,Beyond Meat Inc. Common Stock,10.98,747423.0,9.91,188789747.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-15,445,10.31,9.99,-3.103782735208538,2026-09-14,2026-09-15,8206704.54,25882921.057040673,0.31707026119324394,0.13709918821513475,Beyond Meat Inc. Common Stock,3,False
