symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
GPRO,GoPro Inc. Class A Common Stock,1.8242,197545229.0,31.237,336572943.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-09-03,431,1.69,1.3900000000000001,-17.751479289940818,2026-09-02,2026-09-03,360362006.7418,239719640.15852046,1.503264423822353,0.7122368126855654,GoPro Inc. Class A Common Stock,1,True
CHPT,ChargePoint Holdings Inc. Common Stock,9.83,9448788.0,8.26,265410000.0,United States,Miscellaneous,Industrial Machinery/Components,"ChargePoint Holdings, Inc.",23079434.167573452,212100000.0,2025-07-31,2025-07-31,9.19,9.079250081349654,9.19,reported_close,2026-04-02,10-K,0001777393-26-000013,https://www.sec.gov/Archives/edgar/data/1777393/000177739326000013/0001777393-26-000013-index.html,2026-09-03,400,5.19,9.08,74.95183044315992,2026-09-02,2026-09-03,92881586.04,226870837.86724705,0.40940293125884014,0.854793858058276,ChargePoint Holdings Inc. Common Stock,2,False
LULU,lululemon athletica inc. Common Stock,100.141,26421760.0,-17.762,10859085452.0,Canada,Consumer Discretionary,Apparel,lululemon athletica inc.,90911912.27434956,17576000000.0,2025-08-01,2025-08-01,193.33,194.2875141233798,193.33,reported_close,2026-03-17,10-K,0001397187-26-000020,https://www.sec.gov/Archives/edgar/data/1397187/000139718726000020/0001397187-26-000020-index.html,2026-09-03,399,120.07,121.77,1.415840759556919,2026-09-02,2026-09-03,2645901468.1600003,9104009807.06564,0.290630340282203,0.8383772139290869,lululemon athletica inc. Common Stock,3,False
