symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
ALOY,REalloys Inc. Common Stock,12.16,2208484.0,9.648,838889727.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-25,422,11.09,12.16,9.648331830477908,2026-08-24,2026-08-25,26855165.44,32577721.80645161,0.8243414195611944,0.03883433156698033,REalloys Inc. Common Stock,1,False
DKS,Dick's Sporting Goods Inc Common Stock,124.31,38706243.0,-30.681,11126060374.0,United States,Consumer Discretionary,Other Specialty Stores,"DICK'S Sporting Goods, Inc.",55828739.92139747,11281312684.0,2025-08-01,2025-08-01,202.06998581524877,206.29714493489178,202.06998581524877,reported_close,2026-03-27,10-K,0001089063-26-000007,https://www.sec.gov/Archives/edgar/data/1089063/000108906326000007/0001089063-26-000007-index.html,2026-08-25,390,179.33,124.31,-30.68086767412034,2026-08-24,2026-08-25,4811573067.33,6940070659.62892,0.6933031813810482,0.6237671220845489,Dick's Sporting Goods Inc Common Stock,2,True
VOR,Vor Biopharma Inc. Common Stock,24.01,1219961.0,5.724,1420486679.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),VOR BIOPHARMA INC.,2553449.117588195,76100000.0,2025-06-30,2025-06-30,32.4,1.490141304869208,1.490141304869208,amount/volume_raw_proxy,2026-03-30,10-K,0001193125-26-130451,https://www.sec.gov/Archives/edgar/data/1817229/000119312526130451/0001193125-26-130451-index.html,2026-08-25,422,22.71,24.01,5.724350506384845,2026-08-24,2026-08-25,29291263.610000003,61308313.31329256,0.47776984925875,0.043160076204623504,Vor Biopharma Inc. Common Stock,3,False
