symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CUE,Cue Biopharma Inc. Common Stock,26.165,2620294.0,-29.379,190073392.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"Cue Biopharma, Inc.",2412683.398917158,52000000.0,2025-06-30,2025-06-30,20.46,0.7184255232622969,0.7184255232622969,amount/volume_raw_proxy,2026-03-16,10-K,0001193125-26-108287,https://www.sec.gov/Archives/edgar/data/1645460/000119312526108287/0001193125-26-108287-index.html,2026-09-18,448,37.84,37.05,-2.087737843551818,2026-09-17,2026-09-18,68559992.50999999,63127861.13266744,1.0860496661833128,0.33212361008776775,Cue Biopharma Inc. Common Stock,1,False
ALOY,REalloys Inc. Common Stock,9.16,2136357.0,10.896,635877408.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-18,448,8.25,8.26,0.12121212121212199,2026-09-17,2026-09-18,19569030.12,24540454.913412564,0.7974192079587149,0.03859305992738236,REalloys Inc. Common Stock,2,False
BYND,Beyond Meat Inc. Common Stock,12.18,1000060.0,5.821,209422506.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-18,450,11.7,11.51,-1.6239316239316182,2026-09-17,2026-09-18,12180730.799999999,28711655.59879375,0.4242434142499168,0.13709918836896046,Beyond Meat Inc. Common Stock,3,False
