symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
BYND,Beyond Meat Inc. Common Stock,10.03,3135687.0,-12.858,172455479.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-23,453,11.51,10.03,-12.85838401390096,2026-09-22,2026-09-23,31450940.61,23643506.21148615,1.330214746014318,0.13709918843161922,Beyond Meat Inc. Common Stock,1,True
VOR,Vor Biopharma Inc. Common Stock,19.37,2764338.0,-11.955,1145973635.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Vor Biopharma Inc.,2553449.117588195,76100000.0,2025-06-30,2025-06-30,32.4,1.490141304869208,1.490141304869208,amount/volume_raw_proxy,2026-03-30,10-K,0001193125-26-130451,https://www.sec.gov/Archives/edgar/data/1817229/000119312526130451/0001193125-26-130451-index.html,2026-09-23,451,22.0,19.37,-11.954545454545451,2026-09-22,2026-09-23,53545227.06,49460309.40768334,1.0825898119368031,0.04316007619816083,Vor Biopharma Inc. Common Stock,2,True
DMRA,Damora Therapeutics Inc. Ordinary Shares,20.44,1067240.0,-8.791,1261874008.0,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,"DAMORA THERAPEUTICS, INC.",1290322.5806451612,4400000.0,2025-06-30,2025-06-30,3.41,3.2296590671407657,3.41,reported_close,2026-03-19,10-K,0001193125-26-115922,https://www.sec.gov/Archives/edgar/data/1800315/000119312526115922/0001193125-26-115922-index.html,2026-09-23,451,22.41,20.44,-8.790718429272637,2026-09-22,2026-09-23,21814385.6,26374193.548387095,0.8271110000000002,0.020900813695488286,Damora Therapeutics Inc. Ordinary Shares,3,True
