symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CELU,Celularity Inc. Class A Common Stock,2.2,193186929.0,149.886,63681114.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Celularity Inc.,14489795.918367347,28400000.0,2025-06-30,2025-06-30,1.96,2.057249764591215,1.96,reported_close,2026-04-30,10-K,0001493152-26-020424,https://www.sec.gov/Archives/edgar/data/1752828/000149315226020424/0001493152-26-020424-index.html,2026-08-26,423,0.8,0.88,9.999999999999986,2026-08-25,2026-08-26,425011243.8,31877551.020408165,13.332619043661971,0.5005809260875708,Celularity Inc. Class A Common Stock,1,False
TCI,Transcontinental Realty Investors Inc. Common Stock,39.13,577553.0,1.531,343325250.0,United States,Real Estate,Real Estate Investment Trusts,"TRANSCONTINENTAL REALTY INVESTORS, INC.",1171086.5993898145,49900000.0,2025-06-30,2025-06-30,42.61,43.103307766059444,42.61,reported_close,2026-03-12,10-K,0000733590-26-000004,https://www.sec.gov/Archives/edgar/data/733590/000073359026000004/0000733590-26-000004-index.html,2026-08-26,423,39.21,38.54,-1.7087477684264218,2026-08-25,2026-08-26,22599648.89,45824618.634123445,0.4931770206412826,0.1334729054566288,Transcontinental Realty Investors Inc. Common Stock,2,False
ONDS,Ondas Inc. Common Stock,8.815,67856824.0,7.238,5029418886.0,United States,Technology,Radio And Television Broadcasting And Communications Equipment,Ondas Inc.,204166666.6666667,392000000.0,2025-06-30,2025-06-30,1.92,2.0703585908995703,1.92,reported_close,2026-03-30,10-K,0001213900-26-035981,https://www.sec.gov/Archives/edgar/data/1646188/000121390026035981/0001213900-26-035981-index.html,2026-08-26,423,8.24,8.22,-0.24271844660194164,2026-08-25,2026-08-26,598157903.56,1799729166.6666667,0.33235995428571424,0.3578403802627043,Ondas Inc. Common Stock,3,False
