symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
TLYS,Tilly's Inc. Common Stock,4.1,11078273.0,7.612,125002522.0,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,"TILLY'S, INC.",9037528.823529411,15363799.0,2025-08-01,2025-08-01,1.7000000000000002,1.713253032516734,1.7000000000000002,reported_close,2026-04-09,10-K,0001628280-26-024440,https://www.sec.gov/Archives/edgar/data/1524025/000162828026024440/0001628280-26-024440-index.html,2026-09-02,398,3.96,3.81,-3.7878787878787845,2026-09-01,2026-09-02,45420919.3,37053868.176470585,1.225807764082308,0.29642496474167607,Tilly's Inc. Common Stock,1,False
CHPT,ChargePoint Holdings Inc. Common Stock,8.11,25015647.0,56.262,210029787.0,United States,Miscellaneous,Industrial Machinery/Components,"ChargePoint Holdings, Inc.",23079434.167573452,212100000.0,2025-07-31,2025-07-31,9.19,9.079250081349654,9.19,reported_close,2026-04-02,10-K,0001777393-26-000013,https://www.sec.gov/Archives/edgar/data/1777393/000177739326000013/0001777393-26-000013-index.html,2026-09-02,399,5.3,5.19,-2.075471698113196,2026-09-01,2026-09-02,202876897.17,187174211.0990207,1.083893427298444,0.8911793597115856,ChargePoint Holdings Inc. Common Stock,2,False
GPRO,GoPro Inc. Class A Common Stock,1.56,136557455.0,-7.692,287826878.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-09-02,430,1.23,1.69,37.398373983739845,2026-09-01,2026-09-02,213029629.8,205000898.28269485,1.0391643723737913,0.7122368130008165,GoPro Inc. Class A Common Stock,3,False
