symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
GPRO,GoPro Inc. Class A Common Stock,1.46,74892937.0,-14.118,269376437.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-09-04,435,1.3900000000000001,1.7000000000000002,22.302158273381288,2026-09-03,2026-09-04,109343688.02,191859815.05944517,0.5699144867106295,0.7122368132719982,GoPro Inc. Class A Common Stock,1,False
ALOY,REalloys Inc. Common Stock,10.27,785098.0,1.683,712932421.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-04,435,10.06,10.1,0.397614314115291,2026-09-03,2026-09-04,8062956.46,27514243.663837012,0.29304663280995225,0.03859305994983922,REalloys Inc. Common Stock,2,False
CYPH,Cypherpunk Technologies Inc. Common Stock,2.615,9598236.0,8.058,281803859.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-04,435,2.27,2.42,6.607929515418509,2026-09-03,2026-09-04,25099387.14,106537037.03703706,0.23559306545454542,0.378053861345586,Cypherpunk Technologies Inc. Common Stock,3,False
