symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
SUNE,SUNation Energy Inc. Common Stock,3.525,63300747.0,48.734,22958706.0,United States,Consumer Discretionary,Engineering & Construction,"SUNATION ENERGY, INC.",6117721.518987342,9666000.0,2025-06-30,2025-06-30,1.58,1.619826259897182,1.58,reported_close,2026-03-23,10-K,0000022701-26-000003,https://www.sec.gov/Archives/edgar/data/22701/000002270126000003/0000022701-26-000003-index.html,2026-09-08,436,2.36,2.37,0.4237288135593209,2026-09-04,2026-09-08,223135133.17499998,21564968.354430377,10.34711155183116,0.9392937195341226,SUNation Energy Inc. Common Stock,1,False
IRD,Opus Genetics Inc. Common Stock,5.73,40785765.0,32.028,476712066.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"Opus Genetics, Inc.",48726114.64968152,45900000.0,2025-06-30,2025-06-30,0.9420000000000001,0.9436345202245661,0.9420000000000001,reported_close,2026-03-12,10-K,0001140361-26-009247,https://www.sec.gov/Archives/edgar/data/1228627/000114036126009247/0001140361-26-009247-index.html,2026-09-08,436,4.67,4.34,-7.066381156316915,2026-09-04,2026-09-08,233702433.45000002,279200636.9426752,0.8370411901960785,0.585679819865678,Opus Genetics Inc. Common Stock,2,False
CYPH,Cypherpunk Technologies Inc. Common Stock,2.625,23874112.0,-0.19,282881503.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-08,436,2.42,2.63,8.677685950413228,2026-09-04,2026-09-08,62669544.0,106944444.44444446,0.5860009309090908,0.3780538611053847,Cypherpunk Technologies Inc. Common Stock,3,False
