symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
GPRO,GoPro Inc. Class A Common Stock,1.265,421573840.0,44.373,233398077.0,United States,Consumer Discretionary,Industrial Machinery/Components,"GOPRO, INC.",131410832.2324967,99478000.0,2025-06-30,2025-06-30,0.757,0.7052224335999409,0.757,reported_close,2026-03-12,10-K,0001500435-26-000006,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000006/0001500435-26-000006-index.html,2026-08-31,428,0.6000000000000001,0.876,45.99999999999997,2026-08-28,2026-08-31,533290907.59999996,166234702.7741083,3.208060042220391,0.7122368140766999,GoPro Inc. Class A Common Stock,1,False
ALOY,REalloys Inc. Common Stock,10.085,1142941.0,-2.56,695740370.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-08-31,428,10.4,10.35,-0.48076923076924016,2026-08-28,2026-08-31,11526559.985000001,27018612.20543294,0.4266155455120757,0.03883433155594082,REalloys Inc. Common Stock,2,False
ALMS,Alumis Inc. Common Stock,9.26,18256142.0,-57.542,1198570313.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Alumis Inc.,61066666.666666664,183200000.0,2025-06-30,2025-06-30,3.0,3.0647458401659264,3.0,reported_close,2026-03-19,10-K,0001847367-26-000006,https://www.sec.gov/Archives/edgar/data/1847367/000184736726000006/0001847367-26-000006-index.html,2026-08-31,428,22.38,21.81,-2.5469168900804307,2026-08-28,2026-08-31,169051874.92,565477333.3333333,0.29895429039301313,0.4717932082915967,Alumis Inc. Common Stock,3,False
