symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
BYND,Beyond Meat Inc. Common Stock,10.03,2408562.0,-12.858,172455479.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-22,452,11.92,11.51,-3.439597315436238,2026-09-21,2026-09-22,24157876.86,23643506.21148615,1.0217552609969482,0.13709918843161922,Beyond Meat Inc. Common Stock,1,False
VOR,Vor Biopharma Inc. Common Stock,19.52,1362008.0,-11.273,1154847979.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Vor Biopharma Inc.,2553449.117588195,76100000.0,2025-06-30,2025-06-30,32.4,1.490141304869208,1.490141304869208,amount/volume_raw_proxy,2026-03-30,10-K,0001193125-26-130451,https://www.sec.gov/Archives/edgar/data/1817229/000119312526130451/0001193125-26-130451-index.html,2026-09-22,450,21.89,22.0,0.5025125628140614,2026-09-21,2026-09-22,26586396.16,49843326.775321566,0.5333993110019185,0.043160076201961786,Vor Biopharma Inc. Common Stock,2,False
CYPH,Cypherpunk Technologies Inc. Common Stock,3.5701,15459244.0,-4.287,384729620.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-22,450,3.4,3.73,9.705882352941186,2026-09-21,2026-09-22,55191047.0044,145448518.51851854,0.37945417090909084,0.3780538616146023,Cypherpunk Technologies Inc. Common Stock,3,False
