symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
BYND,Beyond Meat Inc. Common Stock,9.19,2741048.0,-8.375,158012548.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-24,454,10.03,9.19,-8.374875373878366,2026-09-23,2026-09-24,25190231.119999997,21663392.032258995,1.1628017940352637,0.13709918804840104,Beyond Meat Inc. Common Stock,1,True
VOR,Vor Biopharma Inc. Common Stock,18.44,1931575.0,-4.801,1090952701.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Vor Biopharma Inc.,2553449.117588195,76100000.0,2025-06-30,2025-06-30,32.4,1.490141304869208,1.490141304869208,amount/volume_raw_proxy,2026-03-30,10-K,0001193125-26-130451,https://www.sec.gov/Archives/edgar/data/1817229/000119312526130451/0001193125-26-130451-index.html,2026-09-24,452,19.37,18.44,-4.801239029426951,2026-09-23,2026-09-24,35618243.0,47085601.72832632,0.7564572118141234,0.0431600762206888,Vor Biopharma Inc. Common Stock,2,False
DMRA,Damora Therapeutics Inc. Ordinary Shares,20.27,875188.0,-0.832,1251378970.0,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,"DAMORA THERAPEUTICS, INC.",1290322.5806451612,4400000.0,2025-06-30,2025-06-30,3.41,3.2296590671407657,3.41,reported_close,2026-03-19,10-K,0001193125-26-115922,https://www.sec.gov/Archives/edgar/data/1800315/000119312526115922/0001193125-26-115922-index.html,2026-09-24,452,20.44,20.27,-0.8317025440313208,2026-09-23,2026-09-24,17740060.759999998,26154838.709677417,0.6782707,0.020900813691696784,Damora Therapeutics Inc. Ordinary Shares,3,False
