symbol,trade_date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,amount,vendor_change_pct,adjustment_factor,split_ratio,company_name,exchange,first_traded_date,delisted_at,is_delisted,country,raw_open,raw_high,raw_low,raw_close,average_trade_price,cumulative_split_factor,prior_adjusted_close,drop_pct,average_price_inside_raw_ohlc,cik,sec_entity_name,public_float_value_usd,measurement_date,measurement_price_date,measurement_raw_close,measurement_split_factor,measurement_float_shares,measurement_price_lag_days,filed_date,form,accession,sec_source_url,public_float_age_days,filing_known_days,signal_float_shares,signal_float_market_cap,activity_ratio,activity_rank
TRON,2026-08-21,1.94,2.4,1.88,2.01,9413497.0,20113413.0,7.486631016042766,1.0,1.0,Tron Inc.,NasdaqCM,2023-08-15,NaT,False,United States,1.94,2.4,1.88,2.01,2.1366568661996705,1.0,1.87,7.486631016042766,True,1956744,TRON INC.,101245086.0,2025-06-30,2025-06-30,7.75,1.0,13063882.064516129,0,2026-03-25,10-K,0001493152-26-012723,https://www.sec.gov/Archives/edgar/data/1956744/000149315226012723/0001493152-26-012723-index.html,417,149,13063882.064516129,26258402.949677415,0.7659800574523171,1
USAR,2026-08-21,17.62,19.54,17.54,19.26,21457212.0,405585957.0,12.565751022793691,1.0,1.0,"USA Rare Earth, Inc.",NasdaqGM,2023-07-17,NaT,False,United States,17.62,19.54,17.54,19.26,18.9020808947593,1.0,17.11,12.565751022793691,True,1970622,"USA Rare Earth, Inc.",661800000.0,2025-06-30,2025-06-30,10.96,1.0,60383211.678832114,0,2026-03-30,10-K,0001970622-26-000021,https://www.sec.gov/Archives/edgar/data/1970622/000197062226000021/0001970622-26-000021-index.html,417,144,60383211.678832114,1162980656.9343066,0.3487469499872433,2
BEEM,2026-08-21,1.3599999999999999,1.6400000000000001,1.35,1.57,5480245.0,8325253.0,15.441176470588225,1.0,1.0,Beam Global,NasdaqCM,2010-05-03,NaT,False,United States,1.3599999999999999,1.6400000000000001,1.35,1.57,1.519138834121467,1.0,1.3599999999999999,15.441176470588246,True,1398805,Beam Global,23280367.0,2025-06-30,2025-06-30,1.46,1.0,15945456.84931507,0,2026-04-09,10-K,0001437749-26-011890,https://www.sec.gov/Archives/edgar/data/1398805/000143774926011890/0001437749-26-011890-index.html,417,134,15945456.84931507,25034367.25342466,0.3325529627221203,3
BTCS,2026-08-21,1.37,1.45,1.32,1.35,4699088.0,6488670.0,3.053435114503822,1.025672583219553,1.0,BTCS Inc.,NasdaqCM,2010-11-15,NaT,False,United States,1.335708902054898,1.4137065021748918,1.2869604019799017,1.3162095020248994,1.3808360260544175,1.0,1.31,3.053435114503822,True,1436229,BTCS Inc.,33925000.0,2025-06-30,2025-06-30,2.1449340032998365,1.0,15816337.448056057,0,2026-03-26,10-K,0001493152-26-012916,https://www.sec.gov/Archives/edgar/data/1436229/000149315226012916/0001493152-26-012916-index.html,417,148,15816337.448056057,20817613.63636363,0.3116913452878082,4
ONDS,2026-08-21,8.39,8.83,8.38,8.71,58481381.0,508946887.0,3.937947494033422,1.0,1.0,Ondas Inc,NasdaqCM,2020-12-04,NaT,False,United States,8.39,8.83,8.38,8.71,8.702716630443456,1.0,8.38,3.9379474940334225,True,1646188,Ondas Inc.,392000000.0,2025-06-30,2025-06-30,1.92,1.0,204166666.6666667,0,2026-03-30,10-K,0001213900-26-035981,https://www.sec.gov/Archives/edgar/data/1646188/000121390026035981/0001213900-26-035981-index.html,417,144,204166666.6666667,1778291666.666667,0.2861998942805595,5
SMR,2026-08-21,9.19,9.65,9.1,9.4,36843571.0,348782416.0,3.638368246968038,1.0,1.0,NuScale Power Corporation,NYSE,2022-03-01,NaT,False,United States,9.19,9.65,9.1,9.4,9.466574670517144,1.0,9.07,3.638368246968038,True,1822966,NUSCALE POWER Corp,5300000000.0,2025-06-30,2025-06-30,39.56,1.0,133973710.8190091,0,2026-02-26,10-K,0001822966-26-000018,https://www.sec.gov/Archives/edgar/data/1822966/000182296626000018/0001822966-26-000018-index.html,417,176,133973710.8190091,1259352881.6986856,0.2769536807900441,6
MRNA,2026-08-21,133.11,159.47,132.42,145.13,86868499.0,12863916187.0,8.858385838583871,1.0,1.0,"Moderna, Inc.",NasdaqGS,2018-12-07,NaT,False,United States,133.11,159.47,132.42,145.13,148.08493683078373,1.0,133.32,8.858385838583871,True,1682852,"Moderna, Inc.",9900000000.0,2025-06-30,2025-06-30,27.59,1.0,358825661.47154766,0,2026-02-20,10-K,0001682852-26-000033,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000033/0001682852-26-000033-index.html,417,182,358825661.47154766,52076368249.36571,0.24702022470925059,7
XXI,2026-08-21,6.42,6.51,6.19,6.49,2961274.0,19017570.0,4.846526655896599,1.0,1.0,"Twenty One Capital, Inc.",NYSE,2024-08-13,NaT,False,United States,6.42,6.51,6.19,6.49,6.4220906272097755,1.0,6.19,4.846526655896599,True,2070457,"TWENTY ONE CAPITAL, INC.",365300000.0,2025-06-30,2025-06-30,27.79,1.0,13145016.192875136,0,2026-03-31,10-K,0001213900-26-037460,https://www.sec.gov/Archives/edgar/data/2070457/000121390026037460/0001213900-26-037460-index.html,417,143,13145016.192875136,85311155.09175964,0.2229200856505217,8
BTBT,2026-08-21,1.6600000000000001,1.74,1.47,1.53,58790790.0,91645494.0,-4.375000000000007,1.0,1.0,"Bit Digital, Inc.",NasdaqCM,2018-03-20,NaT,False,United States,1.6600000000000001,1.74,1.47,1.53,1.558841002136559,1.0,1.6,-4.375000000000007,True,1710350,"BIT     DIGITAL, INC.",609761505.0,2025-06-30,2025-06-30,2.19,1.0,278429910.9589041,0,2026-03-27,10-K,0001213900-26-035544,https://www.sec.gov/Archives/edgar/data/1710350/000121390026035544/0001213900-26-035544-index.html,417,147,278429910.9589041,425997763.7671233,0.21513139691056946,9
RDW,2026-08-21,12.0,12.33,11.79,12.02,11405571.0,137960934.0,2.124044180118956,1.0,1.0,Redwire Corporation,NYSE,2021-01-14,NaT,False,United States,12.0,12.33,11.79,12.02,12.095925228118785,1.0,11.77,2.124044180118956,True,1819810,Redwire Corporation,895600000.0,2025-06-30,2025-06-30,16.3,1.0,54944785.27607362,0,2026-02-27,10-K,0001819810-26-000029,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000029/0001819810-26-000029-index.html,417,175,54944785.27607362,660436319.0184048,0.20889362081880802,10
