scenario,symbol,company_name,selection_count,avg_activity,avg_drop_pct
原始口径｜大跌池内活跃前三,RXT,"Rackspace Technology, Inc.",3,0.6111719210765136,-12.000728707413307
原始口径｜大跌池内活跃前三,VBIO,"Valion Bio, Inc.",2,41.194195442256664,-25.72931276297335
原始口径｜大跌池内活跃前三,MSS,Maison Solutions Inc.,2,32.398850031276936,-18.305255353576893
原始口径｜大跌池内活跃前三,BIYA,Baiya International Group Inc.,2,25.968435128865075,-11.82556312205343
原始口径｜大跌池内活跃前三,GIPR,Generation Income Properties In,2,18.11122105396637,-19.448638755433535
原始口径｜大跌池内活跃前三,JTAI,Jet.AI Inc.,2,17.654337508581065,-24.449705070691486
原始口径｜大跌池内活跃前三,FCHL,Fitness Champs Holdings Limited,2,16.467584463732727,-26.053195600997846
原始口径｜大跌池内活跃前三,FRGT,"Freight Technologies, Inc.",2,16.28751809977653,-20.74970484061393
原始口径｜大跌池内活跃前三,NCRA,"Nocera, Inc.",2,11.874988685624668,-13.625000000000004
原始口径｜大跌池内活跃前三,UK,Ucommune International Ltd,2,11.598754886946914,-10.73489954845887
原始口径｜大跌池内活跃前三,AMIX,"Autonomix Medical, Inc.",2,10.947674990111944,-25.214846036763845
原始口径｜大跌池内活跃前三,OSRH,"OSR Health, Inc.",2,9.378481510571085,-32.64534353927465
原始口径｜大跌池内活跃前三,JLHL,Julong Holding Limited,2,8.866836866365189,-28.973330332466844
原始口径｜大跌池内活跃前三,ASBP,"Aspire Biopharma Holdings, Inc.",2,7.7814974399698515,-21.071246819338427
原始口径｜大跌池内活跃前三,ZYBT,Zhengye Biotechnology Holding L,2,6.7069188458706925,-36.99442682293066
原始口径｜大跌池内活跃前三,PPBT,Purple Biotech Ltd.,2,5.834434699338011,-31.536344036344033
原始口径｜大跌池内活跃前三,DFNS,T3 Defense Inc.,2,5.517397118244157,-38.383075715686815
原始口径｜大跌池内活跃前三,CISS,C3is Inc.,2,5.3498044978792985,-16.218872870249022
原始口径｜大跌池内活跃前三,RMSG,Real Messenger Corporation,2,5.194962016024446,-34.517304189435336
原始口径｜大跌池内活跃前三,FGL,Founder Group Limited,2,4.879800834111327,-28.594619666048246
原始口径｜大跌池内活跃前三,MRNO,Murano Global Investments PLC,2,4.723673763851297,-19.867911829042573
原始口径｜大跌池内活跃前三,DXST,Decent Holding Inc.,2,4.0638014279434325,-27.578760162601625
原始口径｜大跌池内活跃前三,CIIT,"Tianci International, Inc.",2,3.7260886214706175,-13.327951647623781
原始口径｜大跌池内活跃前三,BYAH,Park Ha Biological Technology C,2,3.626950504224588,-17.66129032258064
原始口径｜大跌池内活跃前三,FGI,FGI Industries Ltd.,2,3.5755468054987847,-23.369945368371546
原始口径｜大跌池内活跃前三,VCIG,VCI Global Limited,2,3.492312408840838,-17.413449564134496
原始口径｜大跌池内活跃前三,YHC,LQR House Inc.,2,3.488577849447671,-62.20838437457465
原始口径｜大跌池内活跃前三,DXF,Dunxin Financial Holdings Limit,2,3.1910780541190933,-17.48248665066379
原始口径｜大跌池内活跃前三,INHD,Inno Holdings Inc.,2,3.188198398496096,-33.28993826064659
原始口径｜大跌池内活跃前三,NXTS,Nexentis Technologies Inc.,2,2.8380088371069423,-31.77755749405234
原始口径｜大跌池内活跃前三,LZMH,LZ Technology Holdings Limited,2,2.632696250994791,-46.61359956826768
原始口径｜大跌池内活跃前三,RBNE,Robin Energy Ltd.,2,2.6221595665680963,-10.112813963388673
原始口径｜大跌池内活跃前三,SNAL,"Snail, Inc.",2,2.4469913219625368,-30.733603786342123
原始口径｜大跌池内活跃前三,NVNI,Nvni Group Limited,2,2.238766996357271,-19.468152866242033
原始口径｜大跌池内活跃前三,EDHL,Everbright Digital Holding Limi,2,2.1906069415034874,-15.279832347140044
原始口径｜大跌池内活跃前三,IBG,Innovation Beverage Group Limit,2,2.148265508185908,-45.72137246796197
原始口径｜大跌池内活跃前三,VRAX,Virax Biolabs Group Limited,2,2.047623448244286,-17.91423001949319
原始口径｜大跌池内活跃前三,CAR,"Avis Budget Group, Inc.",2,1.9144380761903648,-43.10291686295258
原始口径｜大跌池内活跃前三,FMFC,Kandal M Venture Limited,2,1.7082437660460634,-25.273301291112993
原始口径｜大跌池内活跃前三,SOBR,"SOBR Safe, Inc.",2,1.6884982948691873,-38.79505091578911
原始口径｜大跌池内活跃前三,MGN,Megan Holdings Limited,2,1.5293579124244279,-50.711128391928945
原始口径｜大跌池内活跃前三,ACXP,"Acurx Pharmaceuticals, Inc.",2,1.5015268208833725,-19.735156552566515
原始口径｜大跌池内活跃前三,RENX,RenX Enterprises Corp.,2,1.4333171525730146,-17.787800180796296
原始口径｜大跌池内活跃前三,SWMR,"Swarmer, Inc",2,1.3250327358200586,-29.16833690967936
原始口径｜大跌池内活跃前三,BIAF,"bioAffinity Technologies, Inc.",2,1.322915837984384,-9.697338346973384
原始口径｜大跌池内活跃前三,PBM,Psyence Biomedical Ltd.,2,1.3002032750040449,-13.408849557522124
原始口径｜大跌池内活跃前三,CODX,"Co-Diagnostics, Inc.",2,1.1657886618731585,-16.54206782496845
原始口径｜大跌池内活跃前三,EONR,EON Resources Inc.,2,1.1149472570738264,-17.776314505901862
原始口径｜大跌池内活跃前三,VG,"Venture Global, Inc.",2,0.772693251245486,-9.86755486029184
原始口径｜大跌池内活跃前三,WOK,WORK Medical Technology Group L,2,0.6553731328215424,-36.95123695123695
原始口径｜大跌池内活跃前三,BRTX,"BioRestorative Therapies, Inc.",2,0.5327146744026525,-13.720538720538723
原始口径｜大跌池内活跃前三,FRTT,Fort Technology Inc.,1,191.79865592447723,-28.248587570621464
原始口径｜大跌池内活跃前三,HAO,Haoxi Health Technology Limited,1,40.93032961934829,-66.35514018691589
原始口径｜大跌池内活跃前三,WLDS,Wearable Devices Ltd.,1,38.542705444319765,-13.907284768211936
原始口径｜大跌池内活跃前三,EHGO,Eshallgo Inc.,1,34.14466085529021,-33.149171270718234
