symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CYPH,Cypherpunk Technologies Inc. Common Stock,3.13,17901700.0,28.279,337302516.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-16,444,2.22,2.44,9.909909909909898,2026-09-15,2026-09-16,56032321.0,127518518.51851854,0.43940536363636357,0.37805386105841715,Cypherpunk Technologies Inc. Common Stock,1,False
ALOY,REalloys Inc. Common Stock,8.5,1104419.0,4.294,590060914.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-16,444,8.47,8.15,-3.7780401416765086,2026-09-15,2026-09-16,9387561.5,22772256.196943972,0.412236777015525,0.03859305989710746,REalloys Inc. Common Stock,2,False
GLOO,Gloo Holdings Inc. Class A Common Stock,4.6,3325211.0,13.022,421042789.0,United States,Technology,EDP Services,"GLOO HOLDINGS, INC.",8408839.779005524,76100000.0,2025-11-20,2025-11-20,9.05,8.236119012776866,9.05,reported_close,2026-04-15,10-K,0001193125-26-156999,https://www.sec.gov/Archives/edgar/data/2069785/000119312526156999/0001193125-26-156999-index.html,2026-09-16,301,3.2800000000000002,4.07,24.085365853658548,2026-09-15,2026-09-16,15295970.6,38680662.98342541,0.3954423068331144,0.09186872212036722,Gloo Holdings Inc. Class A Common Stock,3,False
