symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CUE,Cue Biopharma Inc. Common Stock,26.52,1776474.0,-28.421,192652259.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"Cue Biopharma, Inc.",2412683.398917158,52000000.0,2025-06-30,2025-06-30,20.46,0.7184255232622969,0.7184255232622969,amount/volume_raw_proxy,2026-03-16,10-K,0001193125-26-108287,https://www.sec.gov/Archives/edgar/data/1645460/000119312526108287/0001193125-26-108287-index.html,2026-09-18,448,37.84,37.05,-2.087737843551818,2026-09-17,2026-09-18,47112090.48,63984363.73928303,0.7363063055837759,0.3321236100287982,Cue Biopharma Inc. Common Stock,1,False
ALOY,REalloys Inc. Common Stock,8.9,1283914.0,7.748,617828486.0,United States,Basic Materials,Metal Mining,REALLOYS INC.,2679088.9643463497,15779834.0,2025-06-30,2025-06-30,5.89,6.031326811402606,5.89,reported_close,2026-02-23,10-K,0001437749-26-005114,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/0001437749-26-005114-index.html,2026-09-18,448,8.25,8.26,0.12121212121212199,2026-09-17,2026-09-18,11426834.6,23843891.782682512,0.47923529867297715,0.038593059923563496,REalloys Inc. Common Stock,2,False
CYPH,Cypherpunk Technologies Inc. Common Stock,3.6499,10797997.0,1.386,393329218.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-18,448,3.07,3.6,17.26384364820848,2026-09-17,2026-09-18,39411609.250300005,148699629.62962964,0.26504174454545454,0.3780538613066615,Cypherpunk Technologies Inc. Common Stock,3,False
