symbol,nasdaq_name,last_price,cumulative_volume,change_pct,nasdaq_market_cap,country,sector,industry,sec_entity_name,inferred_float_shares,public_float_value_usd,measurement_date,measurement_price_date,measurement_reported_close,measurement_average_price,measurement_price_used,measurement_price_source,filed_date,form,accession,sec_source_url,reference_price_date,public_float_age_days,previous_close,reference_close,previous_day_change_pct,previous_session_date,reference_session_date,estimated_dollar_volume,current_float_market_cap,activity_ratio,float_to_total_market_cap,company_name,activity_rank,drop_filter_pass
CYPH,Cypherpunk Technologies Inc. Common Stock,3.6,19109087.0,17.264,387951775.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.,40740740.740740746,12100000.0,2025-06-30,2025-06-30,0.297,0.29520982496156295,0.297,reported_close,2026-03-16,10-K,0001104659-26-028566,https://www.sec.gov/Archives/edgar/data/1509745/000110465926028566/0001104659-26-028566-index.html,2026-09-17,445,2.44,3.07,25.81967213114753,2026-09-16,2026-09-17,68792713.2,146666666.6666667,0.4690412263636363,0.37805386163439175,Cypherpunk Technologies Inc. Common Stock,1,False
GLOO,Gloo Holdings Inc. Class A Common Stock,5.3255,3286086.0,8.462,487448559.0,United States,Technology,EDP Services,"GLOO HOLDINGS, INC.",8408839.779005524,76100000.0,2025-11-20,2025-11-20,9.05,8.236119012776866,9.05,reported_close,2026-04-15,10-K,0001193125-26-156999,https://www.sec.gov/Archives/edgar/data/2069785/000119312526156999/0001193125-26-156999-index.html,2026-09-17,302,4.07,4.91,20.638820638820633,2026-09-16,2026-09-17,17500050.993,44781276.243093915,0.39078946517739827,0.09186872217852615,Gloo Holdings Inc. Class A Common Stock,2,False
BYND,Beyond Meat Inc. Common Stock,11.55,734581.0,-1.282,198590307.0,United States,Consumer Staples,Packaged Foods,"BEYOND MEAT, INC.",2357278.7847942323,241200000.0,2025-06-28,2025-06-27,102.6,3.410712407824828,3.410712407824828,amount/volume_raw_proxy,2026-04-09,10-K,0001655210-26-000022,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000022/0001655210-26-000022-index.html,2026-09-17,447,10.95,11.7,6.849315068493156,2026-09-16,2026-09-17,8484410.55,27226569.964373384,0.31162245413587003,0.13709918865462745,Beyond Meat Inc. Common Stock,3,False
